date,spread_return,test_year,selected_horizon,selected_direction
2019-02-14,0.004691696500409015,2019,1,reversal
2019-02-15,0.0034336560015925444,2019,1,reversal
2019-02-19,0.009703013490027067,2019,1,reversal
2019-02-20,0.0026103294026604495,2019,1,reversal
2019-02-21,-0.0008868595509630818,2019,1,reversal
2019-02-22,0.0027292826193059507,2019,1,reversal
2019-02-25,-0.00040218144611098294,2019,1,reversal
2019-02-26,-0.01751264777078084,2019,1,reversal
2019-02-27,0.00373029795148857,2019,1,reversal
2019-02-28,-0.0008782462231558099,2019,1,reversal
2019-03-01,0.004078157349491451,2019,1,reversal
2019-03-04,-0.00214454837183734,2019,1,reversal
2019-03-05,-0.015181444465751169,2019,1,reversal
2019-03-06,0.007829245913144623,2019,1,reversal
2019-03-07,0.0006949172307980201,2019,1,reversal
2019-03-08,-0.007142167753054773,2019,1,reversal
2019-03-11,-0.00034502944146248566,2019,1,reversal
2019-03-12,0.005618684079168557,2019,1,reversal
2019-03-13,-0.0019364982116567009,2019,1,reversal
2019-03-14,0.009410073756562677,2019,1,reversal
2019-03-15,0.0060233490420659504,2019,1,reversal
2019-03-18,0.004457776576399054,2019,1,reversal
2019-03-19,-0.00787725101973672,2019,1,reversal
2019-03-20,-0.012354549237387158,2019,1,reversal
2019-03-21,-0.009183516560027371,2019,1,reversal
2019-03-22,-0.0035550792039588997,2019,1,reversal
2019-03-25,0.00376622404180449,2019,1,reversal
2019-03-26,-0.005489307857481595,2019,1,reversal
2019-03-27,-0.008420080760354488,2019,1,reversal
2019-03-28,0.003627308406194407,2019,1,reversal
2019-03-29,0.00223138186603109,2019,1,reversal
2019-04-01,0.002943006383942015,2019,1,reversal
2019-04-02,-0.0023753851313090264,2019,1,reversal
2019-04-03,-0.0001357111101129571,2019,1,reversal
2019-04-04,-0.004052161326147408,2019,1,reversal
2019-04-05,-0.0010913235619667838,2019,1,reversal
2019-04-08,0.003018531993022467,2019,1,reversal
2019-04-09,-0.0008958462813786205,2019,1,reversal
2019-04-10,-0.0025019955722886287,2019,1,reversal
2019-04-11,-0.008169460883840672,2019,1,reversal
2019-04-12,0.006612490525376135,2019,1,reversal
2019-04-15,0.005669955878721944,2019,1,reversal
2019-04-16,-0.03469038525838965,2019,1,reversal
2019-04-17,0.0023148837783326104,2019,1,reversal
